,var,score
0,lep_vz_0,0.24027895033042287
1,lep_vz_1,0.21285604600772537
2,m_vxp_y,0.1627481370069211
3,lep_vz_2,0.13716036250295371
4,m_vxp_x,0.0963295481293366
5,DEtall12,0.007574976629889727
6,minDeltaR_LJ_0,0.007145753873983321
7,lep_deltaz0_2,0.005990335396295011
8,DRjb,0.004625310235063833
9,lep_PtVarCone20Rel_1,0.0044858351450956435
10,lep_promptLeptonInput_ip3_0,0.0043489113598471985
11,min_DRlj_new,0.0037916020918796547
12,SDRll,0.003471286499481578
13,MET_RefFinal_sumet,0.0034105414098814265
14,lep_Eta_2,0.003298441741102398
15,lead_jetPhi,0.003061001279884637
16,DeltaR_max_lep,0.003031218941073212
17,lep_promptLeptonIso_TagWeight_1,0.002911163032921547
18,jet3pTbin,0.002767844247744228
19,DEtall02,0.0027087812915626212
